"행정구역(시군구)별(1)",행정구역(시군구)별(2),2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"부산",해운대구,137018,6095863,136667,6048698,121357,3587600,85820,517501
"울산",소계,427794,18633131,426483,18552805,385971,10512264,288664,1112215
"울산",남구,119765,5518457,119376,5496208,108113,3220891,81626,381358
"울산",동구,60041,2451081,59896,2439842,54262,1329734,39985,120312
"울산",북구,88753,4029598,88519,4014799,80845,2255162,61499,225204
"울산",울주군,82570,3326909,82284,3309138,74058,1833822,54436,184074
"울산",중구,76665,3307086,76408,3292819,68693,1872655,51118,201267
"경남",소계,1163454,41922543,1158568,41658864,1034175,21625006,725029,1841192
"경남",거제시,89597,3444241,89310,3429771,79515,1818950,55975,155993
"경남",거창군,16008,532058,15837,529616,14258,267848,9733,20261
"경남",고성군,12948,393237,12826,390256,11104,192300,7358,13172
"경남",김해시,209400,7250388,208717,7206676,185996,3649861,128758,288653
"경남",남해군,9754,300021,9631,296564,8453,147701,5515,11808
"경남",밀양시,30956,959963,30580,954616,26427,481818,17983,35975
"경남",사천시,36703,1333328,36507,1324792,32605,702757,22681,63069
"경남",산청군,8187,252035,7971,250477,7068,127278,4629,9944
"경남",양산시,131194,4464810,130552,4432894,116597,2201678,80405,162520
"경남",의령군,6744,219162,6707,217950,6020,110146,4287,7434
"경남",진주시,119900,4498419,119570,4475009,106550,2369817,74840,218892
"경남",창녕군,17322,533076,17120,530116,15154,264788,10496,17531
"경남",창원시,390167,15058657,389370,14954912,350438,7961221,252065,739380
"경남",통영시,34777,1076484,34652,1067714,30175,518882,19743,36677
"경남",하동군,9654,310077,9558,308301,8456,155950,5793,11625
"경남",함안군,21447,693680,21184,689105,18859,350769,13230,26519
"경남",함양군,9374,300136,9184,298399,8158,150624,5631,11136
"경남",합천군,9322,302771,9292,301695,8342,152618,5907,10602
"제주",소계,228717,7518082,228074,7488749,201402,3786107,134640,333303
"제주",제주시,173124,5730762,172832,5709322,153000,2871924,102047,245983
"제주",서귀포시,55593,1787320,55242,1779427,48402,914183,32593,87319
"기타",소계,5126,88284,3385,59626,2281,33553,1536,2486
