상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
현대헬스(54),헬스장,폐업,서울특별시 강남구 논현로 874 (신사동),강남구,사립,37.526567804186094,127.0259412043358,1997-03-14,2021-03-11
E-fit Studio 역삼점(407),헬스장,폐업,"서울특별시 강남구 언주로 311, 201호 (역삼동, 로즈1타워)",강남구,사립,37.495262885587444,127.04273486444418,2015-04-17,2021-03-11
휴먼액티브휘트니스센터선릉점(187),헬스장,폐업,"서울특별시 강남구 테헤란로 322 (역삼동,한신인터밸리 5층)",강남구,사립,37.50297357425572,127.04364230868988,2008-01-02,2021-03-11
해성헬스크럽(79),헬스장,폐업,서울특별시 강남구 논현로 839 (신사동),강남구,사립,37.52364546231123,127.025167092201,2000-02-11,2021-03-11
오헬스크럽(80),헬스장,폐업,서울특별시 강남구 선릉로6길 10 (개포동),강남구,사립,37.482669654918816,127.05893993794074,2000-02-18,2021-03-11
시너짐(SYNER GYM),헬스장,폐업,"서울특별시 강북구 한천로 1035 (수유동,우성빌딩지하1층)",강북구,사립,37.639785275483064,127.02369090629892,2003-04-04,2022-07-07
야크짐,헬스장,폐업,"서울특별시 강북구 도봉로 254 (미아동,지하1층)",강북구,사립,37.631163969942435,127.02168561901462,2011-02-07,2021-01-30
피트니스팩토리24,헬스장,폐업,"서울특별시 강북구 솔매로 83, 3층 (미아동, 아이비보습학원)",강북구,사립,37.625180007282516,127.0186205812739,2012-10-11,2022-03-18
에이스휘트니스(173),헬스장,폐업,"서울특별시 강남구 테헤란로 126 (역삼동,대공빌딩 지하 1층)",강남구,사립,37.499053593334224,127.02941590865709,2006-07-24,2021-03-11
도토리짐(175),헬스장,폐업,"서울특별시 강남구 논현로 641 (논현동,대우아이빌힐타운  지층)",강남구,사립,37.510865108332176,127.02889248970823,2007-02-12,2021-03-11
노원헬스,헬스장,폐업,서울특별시 노원구 노해로 488 (상계동),노원구,사립,37.65432111856193,127.05926719088319,2012-10-17,2023-01-31
