,공원명,시군구명,공원주소,경도,위도,면적(㎡),소분류
103,문정근린공원,송파구,서울특별시 송파구 문정동 18-4,127.1275819,37.4862156,49972.0,공원
104,문화예술공원,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),127.030517,37.467654,74385.0,공원
105,세종로공원,종로구,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735,8868.0,공원
106,샘말공원(관악산),관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,126.938511,37.4642128,10634.0,공원
107,초안산생태공원,도봉구,서울특별시 도봉구 창동 산24,127.0405382,37.6479483,22113.0,공원
108,푸른수목원,구로구,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,126.82407,37.483029,,공원
109,서오능도시자연공원,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,126.9134338,37.6374823,1082847.0,공원
110,청계산도시자연공원,서초구,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347,3692455.0,공원
111,개화근린공원,강서구,서울특별시 강서구 개화동 산17,126.8068278,37.5813917,386500.0,공원
112,아차산생태공원,광진구,서울특별시 광진구 광장동 370,127.1010031,37.5517142,23450.0,공원
113,인능산도시자연공원,서초구,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109,2400833.0,공원
114,구룡산,서초구,서울특별시 서초구 염곡동 산25-1,127.061567,37.4689473,2752421.0,공원
115,우면산도시자연공원,서초구,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484,4180551.0,공원
116,향림근린공원,은평구,서울특별시 은평구 진관동 산55,126.9240693,37.6293824,147859.0,공원
117,신사근린공원,은평구,서울특별시 은평구 신사동 산80-4,126.9102948,37.5920771,111650.0,공원
118,문화역 서울284,중구,서울특별시 중구 통일로 1 서울역,126.9715923,37.5558722,,공원
119,광평근린공원,강남구,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445,519782.0,공원
120,청담근린공원,강남구,서울특별시 강남구 청담동 66,127.052453,37.5213259,59347.0,공원
121,허브천문공원,강동구,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715,25500.0,공원
122,연신내물빛공원,은평구,서울특별시 은평구 통일로 849,126.9207354,37.619052,2560.0,공원
123,나들이근린공원,중랑구,서울특별시 중구 망우동 산 30-7 일대,127.113261,37.6054218,32000.0,공원
124,숭인근린공원,종로구,서울특별시 종로구 숭인동 58,127.0178267,37.5764419,45615.0,공원
125,서일대뒷산공원,중랑구,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155,631021.0,공원
126,용마도시자연공원(사가정공원),중랑구,서울특별시 중랑구 면목7동 산50 ,127.095997,37.5797622,109635.0,공원
127,문화비축기지,마포구,서울특별시 마포구 증산로 87,126.8932455,37.57171848,140022.0,공원
128,율현공원,강남구,서울특별시 강남구 율현동 밤고개로24길(율현동 56),127.115594,37.472332,157535.0,공원
129,망우산 사색의 길, 중랑구 ,02178 서울 중랑구 망우로 570 (망우묘지관리사무소) ,,,,산책로
131,토성산성어울길, 송파구 , 서울특별시 송파구 올림픽로 424  (방이동) 올림픽공원,,,,산책로
132,화랑로 낙엽거리, 노원구 ,01805 서울특별시 노원구 공릉동 육군사관학교 일대 ,,,,산책로
133,살곶이길, 성동구 ,04792 서울 성동구 광나루로 200 ,,,,산책로
134,소월길,중구,  ,,,,산책로
135,서순라길, 종로구 ,03139 서울 종로구 종로 지하 129 (1호선 종로3가역) ,,,,산책로
136,경의선 숲길, 마포구 , 서울시 마포구 연남동 ,,,,산책로
137,마포구 메타세쿼이아 숲길, 마포구 ,"03900 서울 마포구 하늘공원로 95 (상암동, 탐방객안내소) 메타세쿼이아 숲길",,,,산책로
138,가을단풍길 - 남산남측순환로, 용산구 ,04340 서울 용산구 남산공원길 126 (용산동2가) ,,,,산책로
