요리,종류,난이도,소요시간,링크,재료,재료수
초당옥수수 오픈 샌드위치,메인요리,1,30,https://wtable.co.kr/recipes/nGn4P2FXZa3TtjAvwWYevzMn?location=recipe_home,병아리콩 파프리카파우더 소금 후추 호밀빵슬라이스 초당옥수수 레몬즙 오이 올리브오일 딜,10
오이토스트,메인요리,2,15,https://wtable.co.kr/recipes/TuKSvQWosnXLigaNZ9GbsgaT?location=recipe_home,딜 소금 식빵 오이 올리브유 후춧가루 크림치즈,7
버섯 취나물 솥밥,메인요리,2,40,https://wtable.co.kr/recipes/GkqfdoYgrLeq7zNwbLuLGM8f?location=recipe_home,강황가루 표고버섯 물 렌틸콩 고춧가루 현미 당근 쪽파 올리고당 간장 참기름 들기름 다진마늘 취나물 통깨 맛술,16
김치 로제파스타,메인요리,1,35,https://wtable.co.kr/recipes/SzZvSjHCPgq9R8ZBVhuqjvEJ?location=recipe_home,파르메산치즈가루 스파게티면 면수 후춧가루 설탕 파슬리가루 소금 만가닥버섯 마늘 체다슬라이스치즈 냉동새우살 청양고추 양파 토마토소스 버터 우유 올리브유 배추김치 베이컨,19
두부 유부초밥,메인요리,1,20,https://wtable.co.kr/recipes/iXJJcB7SbmqwkL5dvhfpJrV3?location=recipe_home,두부 유부 실파 소금 초밥소스 양파 레몬즙 토마토 후춧가루 올리브오일,10
묵은지 유부 쌈밥,메인요리,2,40,https://wtable.co.kr/recipes/AEPVdyH7WzcNSwZquHsxHsoP?location=recipe_home,설탕 고춧가루 고추장 묵은지 된장 밥 달걀 올리고당 참기름 다진마늘 깨 간장 냉동유부 오이 다시마육수 미나리 맛술,17
채식 월남쌈,메인요리,2,50,https://wtable.co.kr/recipes/R7pnT4Wf55NxArBuKzLWDLWk?location=recipe_home,물 스윗칠리소스 후춧가루 적채 마요네즈 설탕 소금 올리고당 파인애플 라이스페이퍼 적양배추피클 케찹 땅콩버터 파프리카파우더 피클링스파이스 적근대 식초 올리브유 맛술 두부 표고버섯 당근 간장 레몬즙 오이 새싹,29
채식만두,메인요리,2,40,https://wtable.co.kr/recipes/b1YYwZeADd84UAhLjdEqh5yy?location=recipe_home,숙주 고춧가루 만두피 깨 다진마늘 후춧가루 설탕 소금 시래기나물 식초 참기름 다진청양고추 대파 맛술 배추김치 두부 표고버섯 들깨가루 밀가루 간장,20
풀드포크,메인요리,2,60,https://wtable.co.kr/recipes/a3capM88qNw8VcCXyM8pwKW5?location=recipe_home,돼지고기 꿀 바베큐소스 스테이크시즈닝,4
비건 볼로네제 파스타,메인요리,2,90,https://wtable.co.kr/recipes/b4WtxzuPh1kNG1QubP3NBGsG?location=recipe_home,진간장 물 화이트인 소금 식초 비정제설탕 양파 당근 쇠고기다짐육 스파게티면 샐러리 다진마늘 월계수잎 토마토 올리브유 후춧가루 허브가루,17
채식 양배추 덮밥,메인요리,1,25,https://wtable.co.kr/recipes/eH8yJs2i1Ddj5pfQFLHSfAq2?location=recipe_home,팽이버섯 소금 식용유 다진대파 양배추 양파 쪽파 된장 밥 올리고당 깨소금 참기름 다진마늘 마늘 후춧가루 통깨 맛술,17
양배추 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/jcLEmuC38b52DoEgyQRiTAxT?location=recipe_home,설탕 물 식용유 양배추 당근 굴소스 밥 달걀 베이컨 깨 참기름 간장 후춧가루 대파,14
스팸 마요 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/86kXDnKtJ5a7goKPE7NwcJ6Z?location=recipe_home,설탕 물 식용유 마요네즈 양파 쪽파 밥 달걀 간장 스팸 통깨 맛술,12
고추장 참치 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/4u2Dki3KZWwducD6PFhy7CjL?location=recipe_home,설탕 참치캔 식용유 물엿 고춧가루 고추장 쪽파 밥 달걀 참기름 간장 다진마늘 게김치 후춧가루 대파 통깨,16
김 두부 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/YqShznyV6QJGPubyy397NzQE?location=recipe_home,설탕 물 식용유 부침두부 전분가루 밥 깨 간장 참기름 도시락김 생강가루 맛술,12
시금치 키쉬,메인요리,2,80,https://wtable.co.kr/recipes/7AoB6HiBq3XDHuxRVjmGxSKp?location=recipe_home,시금치 물 소금 생크림 다진양파 고다치즈 달걀노른자 달걀 버터 방울토마토 박력분 후춧가루,12
산더미 물갈비,메인요리,1,90,https://wtable.co.kr/recipes/SAtsrnsn2dYZMRCmizNNH9Yy?location=recipe_home,물 국간장 고춧가루 납작당면 느타리버섯 다진마늘 후춧가루 다진파 설탕 소금 고추장 통후추 마늘 콩나물 양파 소갈비 대파 미나리 팽이버섯 쇠고기 새송이버섯 간장 참치액,23
어묵 김밥,메인요리,1,30,https://wtable.co.kr/recipes/N1jzm9yw6xeLY7sCsh5Ef3eW?location=recipe_home,설탕 물 소금 식용유 고춧가루 김밥용김 청양고추 김치국물 밥 달걀 올리고당 참기름 간장 다진마늘 볶은통깨 묵은지 어묵 맛술,18
키토 닭가슴살 샐러드,메인요리,1,30,https://wtable.co.kr/recipes/izCT1wtsngnHHHnuZV7GveWB?location=recipe_home,설탕 파슬리가루 페퍼닭가슴살 아몬드 앤초비 브로콜리 식초 양파 달걀 파마산치즈가루 방울토마토 베이비잎채소 마늘 후춧가루 아보카도 마요네즈,16
칠리 닭가슴살 샌드위치,메인요리,1,40,https://wtable.co.kr/recipes/P6wt2MFd4HmLo77piYwEuJP2?location=recipe_home,양상추 닭가슴살 칠리소스 양파 토마토 식빵 후춧가루 스리라차소스 마요네즈,9
닭가슴살 곡물 샐러드,메인요리,1,30,https://wtable.co.kr/recipes/uaUTLMxEAqXGYEj9obXJVkoR?location=recipe_home,설탕 닭가슴살소시지 소금 식초 다진양파 율무 간장 루꼴라 방울토마토 참기름 다진마늘 후춧가루 올리브오일,13
순두부 달걀탕,메인요리,1,20,https://wtable.co.kr/recipes/eAazgEgWkgPrvRLRceL2riWL?location=recipe_home,소금 멸치다시마물 청양고추 달걀 새우젓 다진마늘 후춧가루 대파 순두부,9
타르티플레트,메인요리,2,60,https://wtable.co.kr/recipes/V3gD7waTHNbtrTFhFFMZMLmz?location=recipe_home,감자 소금 파슬리 양파 베이컨 버터 후춧가루 까망베르치즈,8
돼지고기 무 수분 수육,메인요리,2,90,https://wtable.co.kr/recipes/c5VEhCBbcE1KUbWXWwiRfc4E?location=recipe_home,설탕 생강 고추기름 식초 청주 양파 된장 삼겹살 간장 통후추 마늘 사과 월계수잎 다진마늘 대파 두반장 맛술,17
아스파라거스 구이,메인요리,1,20,https://wtable.co.kr/recipes/mRydgpjYh3Qm3Btw21TwvbPf?location=recipe_home,소금 아스파라거스 마늘 레몬 후춧가루 올리브오일,6
삼겹살 배추 술찜 ,메인요리,2,25,https://wtable.co.kr/recipes/QyitoZhkUxXNCWmxBTWV8FA4?location=recipe_home,설탕 대패삼겹살 숙주 실파 소금 화이트인 고추기름 식초 깨소스 간장 유자청 다진마늘 알배추 후춧가루 맛술,15
크림 연어구이,메인요리,2,35,https://wtable.co.kr/recipes/2gDJxRrHG2iiCeBxRab3jzCB?location=recipe_home,화이트인 소금 파슬리 생크림 양파 버터 어린시금치 마늘 파마산치즈 토마토 후춧가루 올리브오일 연어필렛 딜,14
양배추 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/ppGi7dfp4tNAv77rNSUxwNyi?location=recipe_home,설탕 참치캔 식용유 고춧가루 식초 양배추 양파 고추장 밥 달걀 올리고당 참기름 다진마늘 간장 깻잎 대파 통깨 맛술,18
샐러드 파스타,메인요리,1,30,https://wtable.co.kr/recipes/rAALYJRZrVdLtFDGhNEm8fDK?location=recipe_home,레몬제스트 소금 올리브 비정제설탕 다진파슬리 루꼴라 방울토마토 레몬즙 키드니빈통조림 토마토 다진마늘 후춧가루 올리브오일 숏파스타,14
청양 마요 김밥,메인요리,2,20,https://wtable.co.kr/recipes/cHRaHtZBooQcuWBFfYrQYNaf?location=recipe_home,설탕 소금 식초 고추냉이 김밥용김 청양고추 밥 스팸 깻잎 통깨 마요네즈,11
